_id,FH_EXPIRY_DT,FH_INSTRUMENT,FH_OPTION_TYPE,FH_STRIKE_PRICE,FH_SYMBOL,TIMESTAMP,FH_CHANGE_IN_OI,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_MARKET_LOT,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_OPEN_INT,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TIMESTAMP,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_UNDERLYING_VALUE
660aba1f551ea8574a932991,30-May-2024,FUTSTK,XX,0.00,BAJAJ-AUTO,2024-03-31T18:30:00.000Z,10500.00,9104.90,9124.60,125,N,9175.10,34000,9142.85,9104.90,01-Apr-2024,30000,273953700.00,9212.10,9075.00,9042.15
660c072c551ea8574ab0f81e,30-May-2024,FUTSTK,XX,0.00,BAJAJ-AUTO,2024-04-01T18:30:00.000Z,31375.00,9319.90,9308.95,125,N,9175.30,65375,9104.90,9319.90,02-Apr-2024,83750,778361106.25,9398.00,9175.30,9276.1
660d689b551ea8574ad29ceb,30-May-2024,FUTSTK,XX,0.00,BAJAJ-AUTO,2024-04-02T18:30:00.000Z,3125.00,9145.05,9155.00,125,N,9224.70,68500,9319.90,9145.05,03-Apr-2024,25375,233030900.00,9233.15,9134.20,9080.45
660eae26551ea8574af11703,30-May-2024,FUTSTK,XX,0.00,BAJAJ-AUTO,2024-04-03T18:30:00.000Z,1250.00,9201.55,9199.05,125,N,9159.60,69750,9145.05,9201.55,04-Apr-2024,27375,250422450.00,9230.00,9060.00,9146.15
661001ff551ea8574a0eea0a,30-May-2024,FUTSTK,XX,0.00,BAJAJ-AUTO,2024-04-04T18:30:00.000Z,4375.00,9086.65,9095.90,125,N,9156.90,74125,9201.55,9086.65,05-Apr-2024,19500,177426506.25,9178.40,9070.25,9009.5
6613f55c551ea8574a60f2cb,30-May-2024,FUTSTK,XX,0.00,BAJAJ-AUTO,2024-04-07T18:30:00.000Z,2375.00,9100.70,9103.05,125,N,9116.60,76500,9086.65,9100.70,08-Apr-2024,24125,219500293.75,9157.00,9027.00,9030.5
66153c86551ea8574a7cf9b8,30-May-2024,FUTSTK,XX,0.00,BAJAJ-AUTO,2024-04-08T18:30:00.000Z,1625.00,9052.95,9060.70,125,N,9149.00,78125,9100.70,9052.95,09-Apr-2024,46750,425099943.75,9180.00,9010.00,8978.9
661698ce551ea8574a9d7548,30-May-2024,FUTSTK,XX,0.00,BAJAJ-AUTO,2024-04-09T18:30:00.000Z,2125.00,9051.85,9045.05,125,N,9053.50,80250,9052.95,9051.85,10-Apr-2024,32125,290016768.75,9099.90,8976.00,9005.55
66192ccc551ea8574ad69524,30-May-2024,FUTSTK,XX,0.00,BAJAJ-AUTO,2024-04-11T18:30:00.000Z,7000.00,9121.90,9129.95,125,N,9051.85,87250,9051.85,9121.90,12-Apr-2024,54500,497466287.50,9180.00,9032.80,9005.55
661d27e7551ea8574a2d5748,30-May-2024,FUTSTK,XX,0.00,BAJAJ-AUTO,2024-04-14T18:30:00.000Z,24000.00,9067.90,9083.10,125,N,9069.90,111250,9121.90,9067.90,15-Apr-2024,78375,713051475.00,9240.00,9012.40,8919.15
