_id,FH_EXPIRY_DT,FH_INSTRUMENT,FH_OPTION_TYPE,FH_STRIKE_PRICE,FH_SYMBOL,TIMESTAMP,FH_CHANGE_IN_OI,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_MARKET_LOT,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_OPEN_INT,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TIMESTAMP,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_UNDERLYING_VALUE
660aba1f551ea8574a932901,30-May-2024,FUTSTK,XX,0.00,CIPLA,2024-03-31T18:30:00.000Z,5200.00,1518.65,1517.80,650,N,1525.00,30550,1517.25,1518.65,01-Apr-2024,20150,30612172.50,1525.00,1513.65,1498.65
660c072c551ea8574ab0fde2,30-May-2024,FUTSTK,XX,0.00,CIPLA,2024-04-01T18:30:00.000Z,29900.00,1505.60,1503.40,650,N,1510.55,60450,1518.65,1505.60,02-Apr-2024,66300,99937435.00,1510.55,1502.75,1489.4
660d689b551ea8574ad2943d,30-May-2024,FUTSTK,XX,0.00,CIPLA,2024-04-02T18:30:00.000Z,14950.00,1490.20,1490.00,650,N,1498.10,75400,1505.60,1490.20,03-Apr-2024,58500,87760660.00,1515.00,1487.25,1471.5
660eae26551ea8574af10cbf,30-May-2024,FUTSTK,XX,0.00,CIPLA,2024-04-03T18:30:00.000Z,9750.00,1477.90,1477.25,650,N,1492.10,85150,1490.20,1477.90,04-Apr-2024,39650,58604780.00,1492.10,1465.30,1459.55
661001ff551ea8574a0ef125,30-May-2024,FUTSTK,XX,0.00,CIPLA,2024-04-04T18:30:00.000Z,11700.00,1465.30,1463.05,650,N,1466.40,96850,1477.90,1465.30,05-Apr-2024,62400,91743405.00,1487.00,1462.10,1449.4
6613f55c551ea8574a60fb0b,30-May-2024,FUTSTK,XX,0.00,CIPLA,2024-04-07T18:30:00.000Z,-3250.00,1479.05,1479.80,650,N,1473.20,93600,1465.30,1479.05,08-Apr-2024,29900,44185895.00,1485.00,1465.00,1462.45
66153c86551ea8574a7cffa5,30-May-2024,FUTSTK,XX,0.00,CIPLA,2024-04-08T18:30:00.000Z,24700.00,1467.55,1467.95,650,N,1482.00,118300,1479.05,1467.55,09-Apr-2024,76700,113176147.50,1483.85,1465.75,1450.3
661698ce551ea8574a9d78a3,30-May-2024,FUTSTK,XX,0.00,CIPLA,2024-04-09T18:30:00.000Z,88400.00,1438.90,1439.80,650,N,1464.85,206700,1467.55,1438.90,10-Apr-2024,307450,442611682.50,1468.00,1422.65,1422.95
66192ccc551ea8574ad68fa7,30-May-2024,FUTSTK,XX,0.00,CIPLA,2024-04-11T18:30:00.000Z,116350.00,1411.45,1410.55,650,N,1433.10,323050,1438.90,1411.45,12-Apr-2024,371150,526719440.00,1439.80,1402.55,1422.95
661d27e6551ea8574a2d2132,30-May-2024,FUTSTK,XX,0.00,CIPLA,2024-04-14T18:30:00.000Z,112450.00,1394.25,1393.15,650,N,1399.10,435500,1411.45,1394.25,15-Apr-2024,261300,365454895.00,1411.40,1391.65,1375.2
661e7a8a551ea8574a4d43d7,30-May-2024,FUTSTK,XX,0.00,CIPLA,2024-04-15T18:30:00.000Z,41600.00,1389.65,1392.15,650,N,1393.80,477100,1394.25,1389.65,16-Apr-2024,219050,304846197.50,1402.00,1385.00,1375.2
66211e7b551ea8574a874dc0,30-May-2024,FUTSTK,XX,0.00,CIPLA,2024-04-17T18:30:00.000Z,478400.00,1360.10,1363.25,650,N,1392.05,955500,1389.65,1360.10,18-Apr-2024,959400,1315962440.00,1394.00,1355.95,1347.3
66226ceb551ea8574aa57e02,30-May-2024,FUTSTK,XX,0.00,CIPLA,2024-04-18T18:30:00.000Z,208650.00,1355.00,1356.70,650,N,1363.05,1164150,1360.10,1355.00,19-Apr-2024,544700,739007880.00,1367.80,1347.00,1345.75
6626694d936df74c757e77cc,30-May-2024,FUTSTK,XX,0.00,CIPLA,2024-04-21T18:30:00.000Z,1744600.00,1366.05,1366.95,650,N,1358.10,2908750,1355.00,1366.05,22-Apr-2024,2878200,3932927440.00,1371.90,1356.75,1354.85
6627c582936df74c759d66ba,30-May-2024,FUTSTK,XX,0.00,CIPLA,2024-04-22T18:30:00.000Z,1858350.00,1357.55,1357.70,650,N,1368.95,4767100,1366.05,1357.55,23-Apr-2024,2965300,4055679712.50,1375.30,1355.85,1346.7
66290843936df74c75b85adc,30-May-2024,FUTSTK,XX,0.00,CIPLA,2024-04-23T18:30:00.000Z,1228500.00,1406.50,1407.85,650,N,1370.00,5995600,1357.55,1406.50,24-Apr-2024,4987450,6953625510.00,1409.65,1364.20,1398.2
662a706d936df74c75d720ba,30-May-2024,FUTSTK,XX,0.00,CIPLA,2024-04-24T18:30:00.000Z,2122250.00,1418.20,1414.55,650,N,1407.95,8117850,1406.50,1418.20,25-Apr-2024,6080750,8564615247.50,1422.50,1395.00,1406.2
662bb0d1936df74c75f295cf,27-Jun-2024,FUTSTK,XX,0.00,CIPLA,2024-04-25T18:30:00.000Z,3900.00,1430.55,1431.25,650,N,1426.05,46150,1428.65,1430.55,26-Apr-2024,19500,27896245.00,1439.95,1422.80,1409.15
662faae7936df74c75402a4e,27-Jun-2024,FUTSTK,XX,0.00,CIPLA,2024-04-28T18:30:00.000Z,6500.00,1427.90,1427.55,650,N,1429.25,52650,1430.55,1427.90,29-Apr-2024,47450,67504060.00,1431.00,1414.15,1408.0
6630f740936df74c755f0f4b,27-Jun-2024,FUTSTK,XX,0.00,CIPLA,2024-04-29T18:30:00.000Z,9100.00,1418.85,1418.90,650,N,1432.25,61750,1427.90,1418.85,30-Apr-2024,22100,31632965.00,1435.45,1418.75,1400.0
66339606936df74c759b8d7c,27-Jun-2024,FUTSTK,XX,0.00,CIPLA,2024-05-01T18:30:00.000Z,52650.00,1441.55,1441.30,650,N,1430.00,114400,1418.85,1441.55,02-May-2024,111150,159774940.00,1446.00,1427.05,1420.05
6634df9c936df74c75bb9543,27-Jun-2024,FUTSTK,XX,0.00,CIPLA,2024-05-02T18:30:00.000Z,-1950.00,1446.20,1445.60,650,N,1446.85,112450,1441.55,1446.20,03-May-2024,120250,173796480.00,1455.00,1437.30,1424.75
6638e1b0936df74c7509636d,27-Jun-2024,FUTSTK,XX,0.00,CIPLA,2024-05-05T18:30:00.000Z,8450.00,1444.15,1443.05,650,N,1447.55,120900,1446.20,1444.15,06-May-2024,110500,158844952.50,1447.55,1425.65,1423.4
663a2a4a936df74c7525f1e0,27-Jun-2024,FUTSTK,XX,0.00,CIPLA,2024-05-06T18:30:00.000Z,15600.00,1404.40,1405.05,650,N,1441.85,136500,1444.15,1404.40,07-May-2024,96200,135768847.50,1442.50,1395.10,1387.2
663c2440936df74c755128b3,27-Jun-2024,FUTSTK,XX,0.00,CIPLA,2024-05-07T18:30:00.000Z,5200.00,1402.60,1400.70,650,N,1406.70,141700,1404.40,1402.60,08-May-2024,55900,78768105.00,1417.75,1400.70,1384.75
663cea0e936df74c7562d4ad,27-Jun-2024,FUTSTK,XX,0.00,CIPLA,2024-05-08T18:30:00.000Z,67600.00,1377.50,1380.20,650,N,1406.10,209300,1402.60,1377.50,09-May-2024,135850,188002262.50,1406.10,1371.05,1358.8
663e1a15936df74c757ae419,27-Jun-2024,FUTSTK,XX,0.00,CIPLA,2024-05-09T18:30:00.000Z,73450.00,1356.75,1355.85,650,N,1386.65,282750,1377.50,1356.75,10-May-2024,656500,897958295.00,1413.00,1332.10,1339.55
66421e8d555ad4a2ed26d30c,27-Jun-2024,FUTSTK,XX,0.00,CIPLA,2024-05-12T18:30:00.000Z,-1950.00,1432.30,1434.00,650,N,1372.55,280800,1356.75,1432.30,13-May-2024,611000,870657970.00,1442.00,1372.55,1339.55
