_id,FH_EXPIRY_DT,FH_INSTRUMENT,FH_OPTION_TYPE,FH_STRIKE_PRICE,FH_SYMBOL,TIMESTAMP,FH_CHANGE_IN_OI,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_MARKET_LOT,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_OPEN_INT,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TIMESTAMP,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_UNDERLYING_VALUE
660aba1e551ea8574a931770,30-May-2024,FUTSTK,XX,0.00,COALINDIA,2024-03-31T18:30:00.000Z,128100.00,447.85,447.80,2100,N,443.80,833700,441.15,447.85,01-Apr-2024,669900,299214090.00,449.65,440.65,442.05
660c072c551ea8574ab0f26c,30-May-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-01T18:30:00.000Z,401100.00,449.95,450.00,2100,N,446.90,1234800,447.85,449.95,02-Apr-2024,1356600,607795965.00,453.85,441.45,443.2
660d689b551ea8574ad28c79,30-May-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-02T18:30:00.000Z,623700.00,451.05,451.90,2100,N,447.70,1858500,449.95,451.05,03-Apr-2024,1150800,519449805.00,452.85,447.05,445.5
660eae26551ea8574af11a20,30-May-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-03T18:30:00.000Z,178500.00,453.50,454.45,2100,N,454.45,2037000,451.05,453.50,04-Apr-2024,1940400,881121990.00,459.00,448.35,448.85
661001ff551ea8574a0ee137,30-May-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-04T18:30:00.000Z,90300.00,452.15,452.50,2100,N,451.80,2127300,453.50,452.15,05-Apr-2024,627900,283787385.00,454.00,448.50,446.95
6613f55c551ea8574a60f7fd,30-May-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-07T18:30:00.000Z,33600.00,452.75,452.30,2100,N,452.15,2160900,452.15,452.75,08-Apr-2024,974400,441003255.00,454.95,449.85,447.4
66153c86551ea8574a7d0ef2,30-May-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-08T18:30:00.000Z,690900.00,445.55,445.65,2100,N,453.50,2851800,452.75,445.55,09-Apr-2024,2005500,895558650.00,455.15,441.90,439.85
661698ce551ea8574a9d6d81,30-May-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-09T18:30:00.000Z,525000.00,460.95,460.85,2100,N,446.90,3376800,445.55,460.95,10-Apr-2024,3706500,1692209505.00,463.45,446.85,456.35
66192ccc551ea8574ad695e4,30-May-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-11T18:30:00.000Z,739200.00,459.65,460.15,2100,N,459.90,4116000,460.95,459.65,12-Apr-2024,2509500,1159979520.00,467.70,458.10,456.35
661d27e7551ea8574a2d56f9,30-May-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-14T18:30:00.000Z,966000.00,455.05,455.60,2100,N,449.75,5082000,459.65,455.05,15-Apr-2024,3916500,1778512365.00,460.85,446.10,453.2
661e7a8a551ea8574a4d5a67,30-May-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-15T18:30:00.000Z,808500.00,456.90,456.85,2100,N,453.65,5890500,455.05,456.90,16-Apr-2024,2255400,1030241730.00,459.95,451.00,453.2
66211e7a551ea8574a87103f,30-May-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-17T18:30:00.000Z,3794700.00,442.05,445.05,2100,N,456.45,9685200,456.90,442.05,18-Apr-2024,8334900,3746118915.00,460.40,438.60,438.6
66226ceb551ea8574aa5bede,30-May-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-18T18:30:00.000Z,4263000.00,438.10,438.50,2100,N,437.80,13948200,442.05,438.10,19-Apr-2024,9309300,4076094645.00,442.30,431.35,435.3
6626694d936df74c757e81cb,30-May-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-21T18:30:00.000Z,9536100.00,446.80,447.30,2100,N,441.75,23484300,438.10,446.80,22-Apr-2024,15109500,6727293510.00,447.95,440.75,442.95
6627c582936df74c759d6a18,30-May-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-22T18:30:00.000Z,12175800.00,444.00,444.10,2100,N,444.10,35660100,446.80,444.00,23-Apr-2024,17495100,7777750785.00,448.30,441.85,440.95
66290843936df74c75b84b1c,30-May-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-23T18:30:00.000Z,12434100.00,447.40,447.60,2100,N,444.00,48094200,444.00,447.40,24-Apr-2024,27545700,12332014695.00,452.00,442.95,443.85
662a706d936df74c75d72be2,30-May-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-24T18:30:00.000Z,7526400.00,456.45,456.65,2100,N,447.60,55620600,447.40,456.45,25-Apr-2024,35452200,16037286090.00,457.85,444.80,452.45
662bb0d1936df74c75f28240,27-Jun-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-25T18:30:00.000Z,132300.00,462.90,462.20,2100,N,459.75,1123500,459.85,462.90,26-Apr-2024,768600,355204080.00,467.70,458.45,455.8
662faae7936df74c75402be4,27-Jun-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-28T18:30:00.000Z,168000.00,459.20,459.75,2100,N,462.70,1291500,462.90,459.20,29-Apr-2024,493500,226864050.00,464.25,456.80,453.25
6630f740936df74c755f0a0c,27-Jun-2024,FUTSTK,XX,0.00,COALINDIA,2024-04-29T18:30:00.000Z,161700.00,459.85,459.05,2100,N,460.75,1453200,459.20,459.85,30-Apr-2024,747600,345215745.00,464.25,458.50,454.3
66339606936df74c759b84fc,27-Jun-2024,FUTSTK,XX,0.00,COALINDIA,2024-05-01T18:30:00.000Z,369600.00,459.80,458.00,2100,N,461.30,1822800,459.85,459.80,02-May-2024,1950900,899023335.00,465.30,455.00,453.9
6634df9c936df74c75bb98fd,27-Jun-2024,FUTSTK,XX,0.00,COALINDIA,2024-05-02T18:30:00.000Z,31500.00,482.10,482.55,2100,N,460.00,1854300,459.80,482.10,03-May-2024,5161800,2438756145.00,483.00,455.30,474.6
6638e1b0936df74c75095e20,27-Jun-2024,FUTSTK,XX,0.00,COALINDIA,2024-05-05T18:30:00.000Z,743400.00,466.30,466.00,2100,N,485.30,2597700,482.10,466.30,06-May-2024,5090400,2381420265.00,486.95,449.35,460.6
663a2a4a936df74c7525fb43,27-Jun-2024,FUTSTK,XX,0.00,COALINDIA,2024-05-06T18:30:00.000Z,300300.00,460.90,460.45,2100,N,467.05,2898000,466.30,460.90,07-May-2024,1625400,757059870.00,474.30,458.15,456.0
663c2440936df74c75512f97,27-Jun-2024,FUTSTK,XX,0.00,COALINDIA,2024-05-07T18:30:00.000Z,-42000.00,471.10,471.45,2100,N,462.00,2856000,460.90,471.10,08-May-2024,2385600,1126160490.00,478.20,459.75,464.45
663cea0e936df74c7562ca82,27-Jun-2024,FUTSTK,XX,0.00,COALINDIA,2024-05-08T18:30:00.000Z,884100.00,448.90,449.25,2100,N,471.45,3740100,471.10,448.90,09-May-2024,3248700,1483548990.00,473.00,447.10,443.5
663e1a15936df74c757ae643,27-Jun-2024,FUTSTK,XX,0.00,COALINDIA,2024-05-09T18:30:00.000Z,115500.00,454.75,454.40,2100,N,454.45,3855600,448.90,454.75,10-May-2024,1883700,851494665.00,455.65,445.00,449.4
66421e8d555ad4a2ed26d87a,27-Jun-2024,FUTSTK,XX,0.00,COALINDIA,2024-05-12T18:30:00.000Z,516600.00,449.50,450.00,2100,N,454.30,4372200,454.75,449.50,13-May-2024,3586800,1604105265.00,456.15,439.40,449.4
6643744e555ad4a2ed452d37,27-Jun-2024,FUTSTK,XX,0.00,COALINDIA,2024-05-13T18:30:00.000Z,336000.00,454.30,453.95,2100,N,450.75,4708200,449.50,454.30,14-May-2024,2192400,994457730.00,455.50,450.75,448.7
6644cc6c555ad4a2ed62e990,27-Jun-2024,FUTSTK,XX,0.00,COALINDIA,2024-05-14T18:30:00.000Z,-268800.00,471.90,472.00,2100,N,455.65,4439400,454.30,471.90,15-May-2024,4819500,2249248890.00,473.65,455.65,467.85
66460ac5555ad4a2ed7d01dc,27-Jun-2024,FUTSTK,XX,0.00,COALINDIA,2024-05-15T18:30:00.000Z,291900.00,472.35,472.20,2100,N,471.40,4731300,471.90,472.35,16-May-2024,4378500,2058416430.00,478.65,462.20,468.3
