_id,FH_EXPIRY_DT,FH_INSTRUMENT,FH_OPTION_TYPE,FH_STRIKE_PRICE,FH_SYMBOL,TIMESTAMP,FH_CHANGE_IN_OI,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_MARKET_LOT,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_OPEN_INT,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TIMESTAMP,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_UNDERLYING_VALUE
660aba1e551ea8574a9316ac,25-Apr-2024,FUTSTK,XX,0.00,INFY,2024-03-31T18:30:00.000Z,1571600.00,1506.30,1508.30,400,N,1524.60,40291200,1506.45,1506.30,01-Apr-2024,8067600,12213434720.00,1533.95,1503.30,1495.45
660c072c551ea8574ab0ff21,25-Apr-2024,FUTSTK,XX,0.00,INFY,2024-04-01T18:30:00.000Z,2902400.00,1489.70,1490.85,400,N,1505.00,43193600,1506.30,1489.70,02-Apr-2024,8053200,12013099020.00,1505.00,1488.00,1482.85
660d689b551ea8574ad29539,25-Apr-2024,FUTSTK,XX,0.00,INFY,2024-04-02T18:30:00.000Z,1256400.00,1486.30,1486.40,400,N,1486.00,44450000,1489.70,1486.30,03-Apr-2024,10368800,15456870760.00,1499.00,1480.25,1480.65
660eae26551ea8574af117be,25-Apr-2024,FUTSTK,XX,0.00,INFY,2024-04-03T18:30:00.000Z,530400.00,1494.20,1495.95,400,N,1501.00,44980400,1486.30,1494.20,04-Apr-2024,12701200,18927560420.00,1503.50,1476.55,1486.7
661001ff551ea8574a0ef053,25-Apr-2024,FUTSTK,XX,0.00,INFY,2024-04-04T18:30:00.000Z,80800.00,1485.75,1487.00,400,N,1485.10,45061200,1494.20,1485.75,05-Apr-2024,6275600,9332753500.00,1496.85,1483.65,1479.1
6613f55c551ea8574a60f462,25-Apr-2024,FUTSTK,XX,0.00,INFY,2024-04-07T18:30:00.000Z,290000.00,1483.40,1482.25,400,N,1489.85,45351200,1485.75,1483.40,08-Apr-2024,6355600,9452440440.00,1496.25,1481.30,1476.7
66153c86551ea8574a7d0445,25-Apr-2024,FUTSTK,XX,0.00,INFY,2024-04-08T18:30:00.000Z,-1658800.00,1501.95,1503.35,400,N,1495.35,43692400,1483.40,1501.95,09-Apr-2024,16232000,24447523640.00,1519.00,1491.45,1494.85
661698ce551ea8574a9d8434,25-Apr-2024,FUTSTK,XX,0.00,INFY,2024-04-09T18:30:00.000Z,-1760000.00,1509.80,1509.00,400,N,1507.35,41932400,1501.95,1509.80,10-Apr-2024,11360400,17108200000.00,1514.50,1491.00,1506.8
66192ccc551ea8574ad6967e,25-Apr-2024,FUTSTK,XX,0.00,INFY,2024-04-11T18:30:00.000Z,492800.00,1490.00,1488.70,400,N,1504.55,42425200,1509.80,1490.00,12-Apr-2024,12360400,18486929460.00,1510.00,1485.00,1506.8
661d27e6551ea8574a2d1984,25-Apr-2024,FUTSTK,XX,0.00,INFY,2024-04-14T18:30:00.000Z,1218000.00,1473.00,1471.90,400,N,1486.00,43643200,1490.00,1473.00,15-Apr-2024,12586000,18609358200.00,1497.05,1465.70,1414.45
