_id,FH_EXPIRY_DT,FH_INSTRUMENT,FH_OPTION_TYPE,FH_STRIKE_PRICE,FH_SYMBOL,TIMESTAMP,FH_CHANGE_IN_OI,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_MARKET_LOT,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_OPEN_INT,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TIMESTAMP,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_UNDERLYING_VALUE
660aba1e551ea8574a9325e3,30-May-2024,FUTSTK,XX,0.00,ONGC,2024-03-31T18:30:00.000Z,88550.00,273.15,273.15,3850,N,272.45,1339800,271.95,273.15,01-Apr-2024,481250,131403002.50,274.15,271.80,269.9
660c072c551ea8574ab0ff94,30-May-2024,FUTSTK,XX,0.00,ONGC,2024-04-01T18:30:00.000Z,246400.00,276.65,276.85,3850,N,274.00,1586200,273.15,276.65,02-Apr-2024,970200,267848927.50,277.85,273.85,272.5
660d689b551ea8574ad28c54,30-May-2024,FUTSTK,XX,0.00,ONGC,2024-04-02T18:30:00.000Z,419650.00,278.65,278.80,3850,N,277.85,2005850,276.65,278.65,03-Apr-2024,1590050,444887520.00,282.30,277.20,275.35
660eae26551ea8574af10afa,30-May-2024,FUTSTK,XX,0.00,ONGC,2024-04-03T18:30:00.000Z,342650.00,272.10,272.60,3850,N,279.95,2348500,278.65,272.10,04-Apr-2024,1474550,402848600.00,280.45,268.70,269.0
661001ff551ea8574a0eedb2,30-May-2024,FUTSTK,XX,0.00,ONGC,2024-04-04T18:30:00.000Z,188650.00,271.55,271.55,3850,N,270.95,2537150,272.10,271.55,05-Apr-2024,1720950,468176170.00,274.50,269.70,267.95
6613f55c551ea8574a60f450,30-May-2024,FUTSTK,XX,0.00,ONGC,2024-04-07T18:30:00.000Z,265650.00,273.55,273.15,3850,N,271.35,2802800,271.55,273.55,08-Apr-2024,1667050,454844005.00,275.30,269.95,270.4
66153c86551ea8574a7d067e,30-May-2024,FUTSTK,XX,0.00,ONGC,2024-04-08T18:30:00.000Z,392700.00,272.25,272.25,3850,N,272.30,3195500,273.55,272.25,09-Apr-2024,1871100,510643787.50,275.75,271.10,268.95
661698ce551ea8574a9d7b33,30-May-2024,FUTSTK,XX,0.00,ONGC,2024-04-09T18:30:00.000Z,115500.00,275.15,275.35,3850,N,272.85,3311000,272.25,275.15,10-Apr-2024,1220450,335440875.00,276.00,272.75,272.0
66192ccc551ea8574ad69c26,30-May-2024,FUTSTK,XX,0.00,ONGC,2024-04-11T18:30:00.000Z,1809500.00,268.65,268.30,3850,N,274.95,5120500,275.15,268.65,12-Apr-2024,3896200,1052827930.00,275.00,268.10,272.0
661d27e6551ea8574a2d1bf5,30-May-2024,FUTSTK,XX,0.00,ONGC,2024-04-14T18:30:00.000Z,2714250.00,282.25,283.60,3850,N,271.40,7834750,268.65,282.25,15-Apr-2024,13074600,3652396247.50,285.30,270.00,283.15
661e7a8a551ea8574a4d3e19,30-May-2024,FUTSTK,XX,0.00,ONGC,2024-04-15T18:30:00.000Z,2275350.00,285.65,286.25,3850,N,280.00,10110100,282.25,285.65,16-Apr-2024,15796550,4554133237.50,294.70,277.65,283.15
66211e7a551ea8574a8702d6,30-May-2024,FUTSTK,XX,0.00,ONGC,2024-04-17T18:30:00.000Z,6695150.00,276.70,277.65,3850,N,289.05,16805250,285.65,276.70,18-Apr-2024,17355800,4889780857.50,289.60,275.60,274.15
66226ceb551ea8574aa5b711,30-May-2024,FUTSTK,XX,0.00,ONGC,2024-04-18T18:30:00.000Z,5262950.00,277.00,276.85,3850,N,275.40,22068200,276.70,277.00,19-Apr-2024,16073750,4484314835.00,282.50,275.40,275.25
6626694d936df74c757e800a,30-May-2024,FUTSTK,XX,0.00,ONGC,2024-04-21T18:30:00.000Z,13617450.00,278.90,279.25,3850,N,280.00,35685650,277.00,278.90,22-Apr-2024,23450350,6501363907.50,280.00,275.40,276.8
6627c582936df74c759d647c,30-May-2024,FUTSTK,XX,0.00,ONGC,2024-04-22T18:30:00.000Z,17194100.00,278.85,278.85,3850,N,280.20,52879750,278.90,278.85,23-Apr-2024,28551600,7957841237.50,280.25,277.40,276.8
66290843936df74c75b85439,30-May-2024,FUTSTK,XX,0.00,ONGC,2024-04-23T18:30:00.000Z,9386300.00,281.15,281.05,3850,N,278.70,62266050,278.85,281.15,24-Apr-2024,28197400,7905545725.00,282.30,278.30,279.35
662a706d936df74c75d72ec0,30-May-2024,FUTSTK,XX,0.00,ONGC,2024-04-24T18:30:00.000Z,14560700.00,284.10,284.70,3850,N,275.00,76826750,281.15,284.10,25-Apr-2024,58905000,16662950535.00,284.70,275.00,281.95
662bb0dcbecf36cc752f64da,27-Jun-2024,FUTSTK,XX,0.00,ONGC,2024-04-25T18:30:00.000Z,-88550.00,287.70,287.80,1925,N,285.65,1482250,286.40,287.70,26-Apr-2024,1307075,376617587.50,290.65,285.65,282.9
662faaf6becf36cc759d35c0,27-Jun-2024,FUTSTK,XX,0.00,ONGC,2024-04-28T18:30:00.000Z,63525.00,287.85,288.00,1925,N,288.40,1545775,287.70,287.85,29-Apr-2024,544775,156733788.75,289.50,286.55,283.2
6630f76bbecf36cc75cb196a,27-Jun-2024,FUTSTK,XX,0.00,ONGC,2024-04-29T18:30:00.000Z,78925.00,286.50,286.45,1925,N,288.30,1624700,287.85,286.50,30-Apr-2024,731500,210602796.25,290.00,285.40,282.85
66339655becf36cc75249f4d,27-Jun-2024,FUTSTK,XX,0.00,ONGC,2024-05-01T18:30:00.000Z,177100.00,287.00,286.85,1925,N,284.50,1801800,286.50,287.00,02-May-2024,729575,208604935.00,287.90,282.80,282.8
6634dfa1becf36cc75538044,27-Jun-2024,FUTSTK,XX,0.00,ONGC,2024-05-02T18:30:00.000Z,115500.00,290.40,290.45,1925,N,288.20,1917300,287.00,290.40,03-May-2024,2229150,652800802.50,296.65,287.80,286.1
6638e1fdd5e8dbe79b7c858f,27-Jun-2024,FUTSTK,XX,0.00,ONGC,2024-05-05T18:30:00.000Z,188650.00,285.75,285.30,1925,N,291.30,2105950,290.40,285.75,06-May-2024,1615075,458693812.50,291.85,278.50,282.15
663a2a98d5e8dbe79babaff7,27-Jun-2024,FUTSTK,XX,0.00,ONGC,2024-05-06T18:30:00.000Z,215600.00,276.90,276.20,1925,N,286.60,2321550,285.75,276.90,07-May-2024,1233925,345740491.25,288.00,275.85,273.6
663bc449d5e8dbe79be7d255,27-Jun-2024,FUTSTK,XX,0.00,ONGC,2024-05-07T18:30:00.000Z,19250.00,280.65,281.05,1925,N,276.25,2340800,276.90,280.65,08-May-2024,1072225,301094928.75,284.15,276.25,276.85
663cea0cd5e8dbe79b11d5d2,27-Jun-2024,FUTSTK,XX,0.00,ONGC,2024-05-08T18:30:00.000Z,908600.00,268.30,268.75,1925,N,281.00,3249400,280.65,268.30,09-May-2024,2691150,731719738.75,281.00,266.05,265.25
663e1a62d5e8dbe79b3ad040,27-Jun-2024,FUTSTK,XX,0.00,ONGC,2024-05-09T18:30:00.000Z,63525.00,272.80,272.60,1925,N,269.10,3312925,268.30,272.80,10-May-2024,1212750,329168262.50,273.90,267.70,270.25
66423692d5e8dbe79bba1ca8,27-Jun-2024,FUTSTK,XX,0.00,ONGC,2024-05-12T18:30:00.000Z,244475.00,270.20,270.85,1925,N,273.75,3557400,272.80,270.20,13-May-2024,1757525,473248160.00,273.80,264.80,266.9
6643783bd5e8dbe79be9f7ed,27-Jun-2024,FUTSTK,XX,0.00,ONGC,2024-05-13T18:30:00.000Z,248325.00,276.55,277.95,1925,N,271.40,3805725,270.20,276.55,14-May-2024,2002000,547755092.50,277.95,269.25,272.9
6644cc34d5e8dbe79b19b9e0,27-Jun-2024,FUTSTK,XX,0.00,ONGC,2024-05-14T18:30:00.000Z,207900.00,276.60,276.60,1925,N,277.10,4013625,276.55,276.60,15-May-2024,972125,269450720.00,279.35,275.75,273.45
66460ad1d5e8dbe79b470913,27-Jun-2024,FUTSTK,XX,0.00,ONGC,2024-05-15T18:30:00.000Z,5124350.00,279.85,279.00,1925,N,278.95,9137975,276.60,279.85,16-May-2024,9345875,2607135877.50,282.20,276.20,277.65
