_id,FH_EXPIRY_DT,FH_INSTRUMENT,FH_OPTION_TYPE,FH_STRIKE_PRICE,FH_SYMBOL,TIMESTAMP,FH_CHANGE_IN_OI,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_MARKET_LOT,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_OPEN_INT,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TIMESTAMP,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_UNDERLYING_VALUE
660aba2a3bf21372dab3813e,25-Apr-2024,FUTSTK,XX,0.00,UPL,2024-03-31T18:30:00.000Z,67600.00,468.40,469.00,1300,N,463.35,39936000,458.70,468.40,01-Apr-2024,7855900,3660702565.00,469.70,458.70,466.2
660c07333bf21372daeb1a57,25-Apr-2024,FUTSTK,XX,0.00,UPL,2024-04-01T18:30:00.000Z,564200.00,479.05,479.50,1300,N,467.40,40500200,468.40,479.05,02-Apr-2024,12005500,5701105800.00,480.20,464.55,478.4
660d68e13bf21372da278754,25-Apr-2024,FUTSTK,XX,0.00,UPL,2024-04-02T18:30:00.000Z,751400.00,480.00,480.50,1300,N,478.35,41251600,479.05,480.00,03-Apr-2024,10296000,4941904760.00,486.20,473.55,476.7
660eae303bf21372da5e7796,25-Apr-2024,FUTSTK,XX,0.00,UPL,2024-04-03T18:30:00.000Z,1248000.00,494.85,497.40,1300,N,482.00,42499600,480.00,494.85,04-Apr-2024,35019400,17142183630.00,498.70,474.50,492.95
661001ec3bf21372da96ca1e,25-Apr-2024,FUTSTK,XX,0.00,UPL,2024-04-04T18:30:00.000Z,-65000.00,495.45,494.55,1300,N,499.90,42434600,494.85,495.45,05-Apr-2024,14527500,7204466685.00,501.50,490.10,492.95
6613f59b3bf21372da175fed,25-Apr-2024,FUTSTK,XX,0.00,UPL,2024-04-07T18:30:00.000Z,882700.00,491.10,490.60,1300,N,498.45,43317300,495.45,491.10,08-Apr-2024,8906300,4380337845.00,500.45,484.55,489.05
66153ccb3bf21372da4deaa1,25-Apr-2024,FUTSTK,XX,0.00,UPL,2024-04-08T18:30:00.000Z,-482300.00,492.05,492.70,1300,N,491.00,42835000,491.10,492.05,09-Apr-2024,9152000,4513238210.00,497.75,488.35,489.05
661698db3bf21372da8bb5fc,25-Apr-2024,FUTSTK,XX,0.00,UPL,2024-04-09T18:30:00.000Z,-673400.00,506.50,507.05,1300,N,493.65,42161600,492.05,506.50,10-Apr-2024,16460600,8282812525.00,510.75,490.20,504.3
66192d553bf21372daff6886,25-Apr-2024,FUTSTK,XX,0.00,UPL,2024-04-11T18:30:00.000Z,410800.00,502.40,502.20,1300,N,506.50,42572400,506.50,502.40,12-Apr-2024,10740600,5423175355.00,511.95,500.95,478.4
661d3afebecf36cc7531d653,25-Apr-2024,FUTSTK,XX,0.00,UPL,2024-04-14T18:30:00.000Z,-204100.00,490.95,490.80,1300,N,500.05,42368300,502.40,490.95,15-Apr-2024,9341800,4610190130.00,500.05,486.95,489.95
661e7aa1becf36cc75680d60,25-Apr-2024,FUTSTK,XX,0.00,UPL,2024-04-15T18:30:00.000Z,-364000.00,484.35,485.00,1300,N,488.25,42004300,490.95,484.35,16-Apr-2024,7088900,3447416440.00,491.85,483.10,484.65
66211e73becf36cc75d296b4,25-Apr-2024,FUTSTK,XX,0.00,UPL,2024-04-17T18:30:00.000Z,-1326000.00,479.25,481.80,1300,N,488.65,40678300,484.35,479.25,18-Apr-2024,9514700,4627606945.00,493.50,477.10,478.4
66226d30becf36cc750a529b,25-Apr-2024,FUTSTK,XX,0.00,UPL,2024-04-18T18:30:00.000Z,-1909700.00,487.30,486.95,1300,N,472.00,38768600,479.25,487.30,19-Apr-2024,11211200,5395412555.00,490.50,467.00,487.55
66266918becf36cc757ff923,25-Apr-2024,FUTSTK,XX,0.00,UPL,2024-04-21T18:30:00.000Z,-9800700.00,494.70,494.15,1300,N,492.00,28967900,487.30,494.70,22-Apr-2024,15588300,7669286755.00,495.70,486.75,493.4
6627c54dbecf36cc75ac423e,25-Apr-2024,FUTSTK,XX,0.00,UPL,2024-04-22T18:30:00.000Z,-8803600.00,496.40,495.90,1300,N,493.85,20164300,494.70,496.40,23-Apr-2024,15432300,7653186320.00,499.50,492.10,495.5
662917aebecf36cc75d8919f,25-Apr-2024,FUTSTK,XX,0.00,UPL,2024-04-23T18:30:00.000Z,-9779900.00,499.30,499.65,1300,N,496.35,10384400,496.40,499.30,24-Apr-2024,17006600,8508593600.00,504.00,496.10,498.45
662a706cbecf36cc7504eac6,25-Apr-2024,FUTSTK,XX,0.00,UPL,2024-04-24T18:30:00.000Z,-8918000.00,505.10,505.50,1300,N,496.05,1466400,499.30,505.90,25-Apr-2024,13033800,6561696375.00,505.80,496.05,505.9
662bb0d1936df74c75f28f00,30-May-2024,FUTSTK,XX,0.00,UPL,2024-04-25T18:30:00.000Z,-335400.00,512.90,512.90,1300,N,511.60,37720800,509.15,512.90,26-Apr-2024,7902700,4055420525.00,518.50,505.30,508.45
662faae7936df74c75402483,30-May-2024,FUTSTK,XX,0.00,UPL,2024-04-28T18:30:00.000Z,-265200.00,511.65,511.60,1300,N,513.85,37455600,512.90,511.65,29-Apr-2024,4951700,2532627955.00,514.90,509.00,507.05
