_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_UNDERLYING_VALUE,TIMESTAMP
642f0865e2684b2e0147e0bc,FUTSTK,M&M,24-Feb-2022,0.0,XX,N,841.0,844.75,834.05,835.7,836.5,843.55,835.7,89600,75122950.0,137900,38500.0,700,03-Jan-2022,829.8,2022-01-02T18:30:00.000Z
642f0a65e2684b2e01e3dec5,FUTSTK,M&M,24-Feb-2022,0.0,XX,N,842.5,846.45,833.0,839.15,839.65,835.7,839.15,102200,85923250.0,147000,9100.0,700,04-Jan-2022,831.85,2022-01-03T18:30:00.000Z
642f09f0e2684b2e01c156c1,FUTSTK,M&M,24-Feb-2022,0.0,XX,N,840.0,854.3,840.0,847.05,848.05,839.15,847.05,147700,125127240.0,136500,-10500.0,700,05-Jan-2022,839.5,2022-01-04T18:30:00.000Z
642f0af7e2684b2e010f7295,FUTSTK,M&M,24-Feb-2022,0.0,XX,N,844.0,847.0,833.05,845.25,845.9,847.05,845.25,133000,111812120.0,150500,14000.0,700,06-Jan-2022,839.85,2022-01-05T18:30:00.000Z
642f0afde2684b2e01112102,FUTSTK,M&M,24-Feb-2022,0.0,XX,N,847.45,856.0,829.7,836.25,836.0,845.25,836.25,158200,133173530.0,180600,30100.0,700,07-Jan-2022,829.0,2022-01-06T18:30:00.000Z
642f0931e2684b2e01878cdc,FUTSTK,M&M,24-Feb-2022,0.0,XX,N,838.25,852.6,836.5,848.65,847.35,836.25,848.65,122500,103703180.0,172900,-7700.0,700,10-Jan-2022,841.95,2022-01-09T18:30:00.000Z
642f098ae2684b2e01a334b2,FUTSTK,M&M,24-Feb-2022,0.0,XX,N,851.55,854.0,842.0,848.05,847.15,848.65,848.05,90300,76576220.0,188300,15400.0,700,11-Jan-2022,841.4,2022-01-10T18:30:00.000Z
642f098de2684b2e01a43b44,FUTSTK,M&M,24-Feb-2022,0.0,XX,N,853.3,888.0,849.35,885.05,885.0,848.05,885.05,490000,427171815.0,217000,28700.0,700,12-Jan-2022,880.55,2022-01-11T18:30:00.000Z
642f0b02e2684b2e011246e4,FUTSTK,M&M,24-Feb-2022,0.0,XX,N,880.7,914.05,875.35,900.85,899.75,885.05,900.85,351400,314119400.0,218400,1400.0,700,13-Jan-2022,896.0,2022-01-12T18:30:00.000Z
642f0934e2684b2e0188977e,FUTSTK,M&M,24-Feb-2022,0.0,XX,N,893.45,900.5,887.7,888.65,887.7,900.85,888.65,126000,112625205.0,262500,44100.0,700,14-Jan-2022,881.2,2022-01-13T18:30:00.000Z
642f0936e2684b2e0188f16b,FUTSTK,M&M,24-Feb-2022,0.0,XX,N,890.7,908.0,889.85,905.2,904.2,888.65,905.2,344400,309684900.0,327600,65100.0,700,17-Jan-2022,900.8,2022-01-16T18:30:00.000Z
642f086ae2684b2e0149b001,FUTSTK,M&M,24-Feb-2022,0.0,XX,N,905.2,913.1,891.45,894.65,894.1,905.2,894.65,591500,533066520.0,392000,64400.0,700,18-Jan-2022,892.15,2022-01-17T18:30:00.000Z
642f0a6ae2684b2e01e556cc,FUTSTK,M&M,24-Feb-2022,0.0,XX,N,895.15,906.75,884.0,897.55,896.5,894.65,897.55,793800,711270630.0,595700,203700.0,700,19-Jan-2022,894.4,2022-01-18T18:30:00.000Z
642f0991e2684b2e01a546a1,FUTSTK,M&M,24-Feb-2022,0.0,XX,N,894.2,901.7,879.0,885.55,886.5,897.55,885.55,960400,854089600.0,945700,350000.0,700,20-Jan-2022,880.5,2022-01-19T18:30:00.000Z
642f086ee2684b2e014ad357,FUTSTK,M&M,24-Feb-2022,0.0,XX,N,880.1,886.85,867.6,877.55,877.95,885.55,877.55,2015300,1773373840.0,1964200,1018500.0,700,21-Jan-2022,875.2,2022-01-20T18:30:00.000Z
642f0b04e2684b2e0112b6a8,FUTSTK,M&M,24-Feb-2022,0.0,XX,N,870.75,879.0,850.95,857.75,856.0,877.55,857.75,6418300,5535522580.0,5904500,3940300.0,700,24-Jan-2022,854.7,2022-01-23T18:30:00.000Z
642f0a6ce2684b2e01e5ed7a,FUTSTK,M&M,24-Feb-2022,0.0,XX,N,851.1,862.25,843.15,859.05,856.5,857.75,859.05,5458600,4677408785.0,8304800,2400300.0,700,25-Jan-2022,854.5,2022-01-24T18:30:00.000Z
642f0b0ae2684b2e01146ce6,FUTSTK,M&M,24-Feb-2022,0.0,XX,N,848.3,864.6,843.15,859.7,860.05,859.05,859.7,5866700,5019499660.0,10162600,1857800.0,700,27-Jan-2022,858.05,2022-01-26T18:30:00.000Z
642f0939e2684b2e0189fb10,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,881.55,902.75,871.95,874.85,876.2,863.85,874.85,191800,170495465.0,120400,46900.0,700,28-Jan-2022,869.65,2022-01-27T18:30:00.000Z
642f0993e2684b2e01a5bad8,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,883.15,894.0,877.85,889.55,888.95,874.85,889.55,110600,98170485.0,161700,41300.0,700,31-Jan-2022,885.8,2022-01-30T18:30:00.000Z
642f086fe2684b2e014b3f03,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,888.75,899.3,871.75,876.75,878.95,889.55,876.75,140000,123686885.0,193200,31500.0,700,01-Feb-2022,869.7,2022-01-31T18:30:00.000Z
642f0999e2684b2e01a7367b,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,880.75,885.7,872.85,876.9,877.0,876.75,876.9,51800,45516135.0,205100,11900.0,700,02-Feb-2022,869.35,2022-02-01T18:30:00.000Z
642f0a6fe2684b2e01e692b9,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,876.6,888.55,860.0,862.85,860.0,876.9,862.85,130900,114297190.0,242200,37100.0,700,03-Feb-2022,856.2,2022-02-02T18:30:00.000Z
642f09f2e2684b2e01c1e73e,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,867.0,867.0,843.3,846.3,844.6,862.85,846.3,89600,76385925.0,271600,29400.0,700,04-Feb-2022,841.7,2022-02-03T18:30:00.000Z
642f0a78e2684b2e01e956c5,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,845.7,845.7,827.25,834.6,834.55,846.3,834.6,74200,61915525.0,296100,24500.0,700,07-Feb-2022,829.5,2022-02-06T18:30:00.000Z
642f0a76e2684b2e01e89213,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,838.4,841.3,823.4,836.6,835.1,834.6,836.6,239400,198855055.0,381500,85400.0,700,08-Feb-2022,832.05,2022-02-07T18:30:00.000Z
642f093ee2684b2e018bb2d2,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,841.55,851.9,840.0,846.45,846.1,836.6,846.45,258300,218484840.0,491400,109900.0,700,09-Feb-2022,840.2,2022-02-08T18:30:00.000Z
642f0942e2684b2e018d198d,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,845.6,863.4,835.4,859.85,859.55,846.45,859.85,690200,587620635.0,793800,302400.0,700,10-Feb-2022,853.05,2022-02-09T18:30:00.000Z
642f099ee2684b2e01a89fc3,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,852.2,865.5,840.55,858.6,854.7,859.85,858.6,324800,277201960.0,835800,42000.0,700,11-Feb-2022,853.65,2022-02-10T18:30:00.000Z
642f09f6e2684b2e01c34f68,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,844.45,844.45,790.5,826.2,823.15,858.6,826.2,321300,265578915.0,854700,18900.0,700,14-Feb-2022,825.05,2022-02-13T18:30:00.000Z
642f08cae2684b2e0167f1d9,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,827.35,861.5,824.5,858.35,858.65,826.2,858.35,286300,241432765.0,859600,4900.0,700,15-Feb-2022,854.6,2022-02-14T18:30:00.000Z
642f0a7be2684b2e01ea1893,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,867.3,880.95,865.8,867.85,866.55,858.35,867.85,474600,415248295.0,940100,80500.0,700,16-Feb-2022,864.25,2022-02-15T18:30:00.000Z
642f0a7fe2684b2e01eb7d52,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,874.4,879.5,862.7,864.65,864.6,867.85,864.65,374500,326161920.0,1060500,120400.0,700,17-Feb-2022,862.25,2022-02-16T18:30:00.000Z
642f0943e2684b2e018d4ba5,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,863.35,872.55,852.25,855.25,854.15,864.65,855.25,1310400,1128109150.0,1836100,775600.0,700,18-Feb-2022,852.0,2022-02-17T18:30:00.000Z
642f09a1e2684b2e01a98092,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,849.2,854.45,836.0,845.2,843.15,855.25,845.2,3214400,2719969560.0,4002600,2166500.0,700,21-Feb-2022,841.1,2022-02-20T18:30:00.000Z
642f0872e2684b2e014c6c57,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,830.0,858.35,825.85,855.3,858.0,845.2,855.3,6850900,5765038545.0,9108400,5105800.0,700,22-Feb-2022,853.25,2022-02-21T18:30:00.000Z
642f08cbe2684b2e0168176b,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,900.0,900.0,850.0,853.15,853.1,855.3,853.15,4360300,3743991650.0,11751600,2643200.0,700,23-Feb-2022,850.3,2022-02-22T18:30:00.000Z
642f0949e2684b2e018f01a3,FUTSTK,M&M,31-Mar-2022,0.0,XX,N,825.05,834.8,793.0,797.25,796.35,853.15,797.25,6545700,5321891645.0,13996500,2244900.0,700,24-Feb-2022,795.8,2022-02-23T18:30:00.000Z
642f09f8e2684b2e01c3fc6d,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,815.0,828.15,807.45,811.3,810.35,800.75,811.3,165200,135028950.0,122500,35700.0,700,25-Feb-2022,807.6,2022-02-24T18:30:00.000Z
642f0ac5e2684b2e01005706,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,807.0,807.75,791.75,795.9,795.55,811.3,795.9,187600,149739030.0,174300,51800.0,700,28-Feb-2022,790.85,2022-02-27T18:30:00.000Z
642f0b0be2684b2e0114e022,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,788.15,815.0,775.05,782.1,787.5,795.9,782.1,274400,218201515.0,212800,38500.0,700,02-Mar-2022,778.35,2022-03-01T18:30:00.000Z
642f0a83e2684b2e01ec9ec9,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,792.9,794.9,763.45,765.95,766.95,782.1,765.95,128800,99915025.0,233100,20300.0,700,03-Mar-2022,762.05,2022-03-02T18:30:00.000Z
642f0876e2684b2e014d9203,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,753.55,758.0,735.0,736.55,737.4,765.95,736.55,234500,174803755.0,307300,74200.0,700,04-Mar-2022,732.3,2022-03-03T18:30:00.000Z
642f0ac8e2684b2e0101497f,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,710.35,710.35,686.25,693.45,695.05,736.55,693.45,347900,242696510.0,417200,109900.0,700,07-Mar-2022,690.55,2022-03-06T18:30:00.000Z
642f09a4e2684b2e01aa905d,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,693.3,704.5,676.45,703.45,703.85,693.45,703.45,193900,134212015.0,447300,30100.0,700,08-Mar-2022,700.65,2022-03-07T18:30:00.000Z
642f09a7e2684b2e01ab7c36,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,706.85,741.35,703.2,737.75,737.7,703.45,737.75,156800,112872865.0,488600,41300.0,700,09-Mar-2022,734.85,2022-03-08T18:30:00.000Z
642f08d0e2684b2e0169dac8,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,761.1,762.75,738.75,741.95,740.75,737.75,741.95,222600,167031305.0,522900,34300.0,700,10-Mar-2022,738.85,2022-03-09T18:30:00.000Z
642f0879e2684b2e014ead43,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,733.95,744.85,733.95,739.2,739.5,741.95,739.2,102200,75542460.0,531300,8400.0,700,11-Mar-2022,734.8,2022-03-10T18:30:00.000Z
642f094be2684b2e018f91cf,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,738.0,751.3,730.0,748.55,749.75,739.2,748.55,193200,143054310.0,582400,51100.0,700,14-Mar-2022,743.2,2022-03-13T18:30:00.000Z
642f087de2684b2e014ff41e,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,755.0,771.75,753.0,764.05,763.6,748.55,764.05,337400,257656525.0,702100,119700.0,700,15-Mar-2022,761.2,2022-03-14T18:30:00.000Z
642f09fde2684b2e01c588ce,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,769.85,780.0,769.85,777.45,775.5,764.05,777.45,175000,135588845.0,728700,26600.0,700,16-Mar-2022,773.65,2022-03-15T18:30:00.000Z
642f0b0ee2684b2e0115b147,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,784.6,803.4,782.5,799.2,798.25,777.45,799.2,272300,215848780.0,767900,39200.0,700,17-Mar-2022,794.4,2022-03-16T18:30:00.000Z
642f0acce2684b2e010259e5,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,794.25,794.25,783.55,786.65,785.9,799.2,786.65,366800,289089500.0,779100,11200.0,700,21-Mar-2022,783.5,2022-03-20T18:30:00.000Z
642f087fe2684b2e01505ebe,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,780.0,791.95,772.6,789.75,790.45,786.65,789.75,1078700,841765190.0,1161300,382200.0,700,22-Mar-2022,785.6,2022-03-21T18:30:00.000Z
642f0b13e2684b2e01178bcb,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,794.3,797.5,777.65,779.5,780.0,789.75,779.5,317800,249420710.0,1151500,-9800.0,700,23-Mar-2022,774.1,2022-03-22T18:30:00.000Z
642f0882e2684b2e01517785,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,779.0,785.0,768.25,770.35,769.35,779.5,770.35,428400,332168305.0,1276100,124600.0,700,24-Mar-2022,765.65,2022-03-23T18:30:00.000Z
642f08d2e2684b2e016a5aef,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,774.0,776.0,763.45,769.85,770.05,770.35,769.85,2113300,1625160005.0,2618700,1342600.0,700,25-Mar-2022,764.75,2022-03-24T18:30:00.000Z
642f0ad0e2684b2e010397fc,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,769.7,777.0,756.0,774.1,774.55,769.85,774.1,3756900,2878782270.0,4575200,1956500.0,700,28-Mar-2022,769.25,2022-03-27T18:30:00.000Z
642f0b17e2684b2e0118bc5e,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,779.8,787.2,774.0,778.4,778.5,774.1,778.4,6405000,4990964860.0,8849400,4274200.0,700,29-Mar-2022,773.35,2022-03-28T18:30:00.000Z
642f0ad2e2684b2e01044dd0,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,782.65,797.0,779.95,795.55,796.15,778.4,795.55,5636400,4463375385.0,11318300,2468900.0,700,30-Mar-2022,793.35,2022-03-29T18:30:00.000Z
642f0a02e2684b2e01c6da2e,FUTSTK,M&M,28-Apr-2022,0.0,XX,N,799.65,815.0,799.65,809.8,810.85,795.55,809.8,7109200,5752323045.0,12526500,1208200.0,700,31-Mar-2022,806.55,2022-03-30T18:30:00.000Z
642f08d6e2684b2e016b63f8,FUTSTK,M&M,26-May-2022,0.0,XX,N,816.35,833.1,813.7,831.25,832.15,812.35,831.25,151200,124456605.0,144900,37100.0,700,01-Apr-2022,826.55,2022-03-31T18:30:00.000Z
642f0b19e2684b2e01196f1c,FUTSTK,M&M,26-May-2022,0.0,XX,N,821.0,839.7,815.5,837.95,838.2,831.25,837.95,231000,191760345.0,241500,96600.0,700,04-Apr-2022,833.7,2022-04-03T18:30:00.000Z
642f0a87e2684b2e01edc380,FUTSTK,M&M,26-May-2022,0.0,XX,N,844.0,855.9,841.0,843.7,841.0,837.95,843.7,107800,91499800.0,257600,16100.0,700,05-Apr-2022,836.55,2022-04-04T18:30:00.000Z
642f094fe2684b2e0190a301,FUTSTK,M&M,26-May-2022,0.0,XX,N,835.8,839.2,829.55,833.7,834.0,843.7,833.7,119700,99961120.0,305200,47600.0,700,06-Apr-2022,827.85,2022-04-05T18:30:00.000Z
642f0888e2684b2e01533e6d,FUTSTK,M&M,26-May-2022,0.0,XX,N,832.0,847.45,830.0,841.6,841.0,833.7,841.6,105000,87950275.0,333900,28700.0,700,07-Apr-2022,834.3,2022-04-06T18:30:00.000Z
642f0b1ce2684b2e011a4cde,FUTSTK,M&M,26-May-2022,0.0,XX,N,836.0,865.5,833.85,862.25,862.5,841.6,862.25,200200,170125935.0,320600,-13300.0,700,08-Apr-2022,857.4,2022-04-07T18:30:00.000Z
642f0a8ae2684b2e01eef144,FUTSTK,M&M,26-May-2022,0.0,XX,N,859.9,864.4,853.1,860.9,861.25,862.25,860.9,113400,97403110.0,343000,22400.0,700,11-Apr-2022,856.85,2022-04-10T18:30:00.000Z
642f0954e2684b2e0192134d,FUTSTK,M&M,26-May-2022,0.0,XX,N,853.85,870.0,847.6,866.15,867.2,860.9,866.15,107800,92607235.0,360500,17500.0,700,12-Apr-2022,860.8,2022-04-11T18:30:00.000Z
642f0a03e2684b2e01c750a0,FUTSTK,M&M,26-May-2022,0.0,XX,N,869.7,878.0,867.85,869.45,867.9,866.15,869.45,130200,113659630.0,371700,11200.0,700,13-Apr-2022,866.1,2022-04-12T18:30:00.000Z
642f0889e2684b2e0153d34f,FUTSTK,M&M,26-May-2022,0.0,XX,N,866.9,879.35,864.05,878.45,879.0,869.45,878.45,176400,154203595.0,354900,-16800.0,700,18-Apr-2022,874.1,2022-04-17T18:30:00.000Z
642f0b20e2684b2e011b32b4,FUTSTK,M&M,26-May-2022,0.0,XX,N,886.45,890.75,871.95,875.0,872.7,878.45,875.0,245000,216198710.0,360500,5600.0,700,19-Apr-2022,872.5,2022-04-18T18:30:00.000Z
642f0a07e2684b2e01c86d10,FUTSTK,M&M,26-May-2022,0.0,XX,N,880.0,892.3,878.3,885.2,887.35,875.0,885.2,294000,260459850.0,401800,41300.0,700,20-Apr-2022,881.25,2022-04-19T18:30:00.000Z
642f0b26e2684b2e011d14f8,FUTSTK,M&M,26-May-2022,0.0,XX,N,887.0,919.6,887.0,916.3,915.1,885.2,916.3,541800,490355740.0,530600,128800.0,700,21-Apr-2022,911.0,2022-04-20T18:30:00.000Z
642f088ee2684b2e01552d42,FUTSTK,M&M,26-May-2022,0.0,XX,N,905.15,930.15,893.05,923.35,922.25,916.3,923.35,2007600,1835037855.0,1360800,830200.0,700,22-Apr-2022,920.65,2022-04-21T18:30:00.000Z
642f0956e2684b2e0192c798,FUTSTK,M&M,26-May-2022,0.0,XX,N,910.55,929.45,897.8,906.3,907.1,923.35,906.3,4900700,4499582080.0,3812900,2452100.0,700,25-Apr-2022,904.0,2022-04-24T18:30:00.000Z
642f0a8de2684b2e01efd68a,FUTSTK,M&M,26-May-2022,0.0,XX,N,916.2,945.75,914.9,942.8,942.4,906.3,942.8,5425700,5090986390.0,6890100,3077200.0,700,26-Apr-2022,940.15,2022-04-25T18:30:00.000Z
642f08dae2684b2e016ca563,FUTSTK,M&M,26-May-2022,0.0,XX,N,932.7,944.5,927.85,932.1,931.3,942.8,932.1,4898600,4582039875.0,8906800,2016700.0,700,27-Apr-2022,926.85,2022-04-26T18:30:00.000Z
642f08dde2684b2e016d8022,FUTSTK,M&M,26-May-2022,0.0,XX,N,940.55,942.95,922.0,926.1,927.45,932.1,926.1,4834900,4486586965.0,10633000,1726200.0,700,28-Apr-2022,922.9,2022-04-27T18:30:00.000Z
