_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_UNDERLYING_VALUE,TIMESTAMP
642f0866e2684b2e01484a2d,FUTSTK,UPL,24-Feb-2022,0.0,XX,N,759.5,773.2,758.65,771.65,770.15,754.3,771.65,79300,60734180.0,144300,-1300.0,1300,03-Jan-2022,764.2,2022-01-02T18:30:00.000Z
642f0a64e2684b2e01e3833d,FUTSTK,UPL,24-Feb-2022,0.0,XX,N,773.0,773.0,763.0,768.55,769.65,771.65,768.55,124800,95810325.0,149500,5200.0,1300,04-Jan-2022,761.75,2022-01-03T18:30:00.000Z
642f09f0e2684b2e01c16258,FUTSTK,UPL,24-Feb-2022,0.0,XX,N,768.75,775.25,765.1,770.0,770.0,768.55,770.0,89700,68983070.0,176800,27300.0,1300,05-Jan-2022,764.5,2022-01-04T18:30:00.000Z
642f0af9e2684b2e0110137a,FUTSTK,UPL,24-Feb-2022,0.0,XX,N,771.4,792.2,765.35,788.55,788.3,770.0,788.55,484900,379838420.0,201500,24700.0,1300,06-Jan-2022,782.75,2022-01-05T18:30:00.000Z
642f0afbe2684b2e0110ad84,FUTSTK,UPL,24-Feb-2022,0.0,XX,N,787.5,795.6,782.1,794.5,795.0,788.55,794.5,284700,224831555.0,262600,61100.0,1300,07-Jan-2022,788.95,2022-01-06T18:30:00.000Z
642f0930e2684b2e01872400,FUTSTK,UPL,24-Feb-2022,0.0,XX,N,799.95,829.5,797.2,825.9,829.2,794.5,825.9,790400,646838855.0,266500,3900.0,1300,10-Jan-2022,821.6,2022-01-09T18:30:00.000Z
642f0989e2684b2e01a2e56b,FUTSTK,UPL,24-Feb-2022,0.0,XX,N,825.9,831.35,822.5,824.5,825.05,825.9,824.5,267800,221182585.0,292500,26000.0,1300,11-Jan-2022,819.55,2022-01-10T18:30:00.000Z
642f098ee2684b2e01a4838a,FUTSTK,UPL,24-Feb-2022,0.0,XX,N,829.85,830.5,818.9,827.65,827.4,824.5,827.65,253500,209243190.0,331500,39000.0,1300,12-Jan-2022,822.4,2022-01-11T18:30:00.000Z
642f0b02e2684b2e011261da,FUTSTK,UPL,24-Feb-2022,0.0,XX,N,831.95,848.35,831.95,844.1,843.35,827.65,844.1,527800,443795560.0,399100,67600.0,1300,13-Jan-2022,841.0,2022-01-12T18:30:00.000Z
642f0932e2684b2e0187d400,FUTSTK,UPL,24-Feb-2022,0.0,XX,N,836.65,841.65,824.65,831.15,830.5,844.1,831.15,464100,385712275.0,518700,119600.0,1300,14-Jan-2022,824.65,2022-01-13T18:30:00.000Z
