_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_UNDERLYING_VALUE,TIMESTAMP
642c3e5ce2684b2e01effe97,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4830,4893,4763.25,4876.2,4887.95,4877.6,4876.2,780050,3769871673,970650,169150,50,29-Jan-10,4882.05,2010-01-28T18:30:00.000Z
642c3e5ce2684b2e01f03c6d,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4860,4928.05,4827,4902.6,4905.9,4876.2,4902.6,528350,2582488165,1096750,126100,50,01-Feb-10,4899.7,2010-01-31T18:30:00.000Z
642c3eace2684b2e0127defb,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4935,4966.35,4810,4823.55,4820,4902.6,4823.55,791600,3857640803,1300050,203300,50,02-Feb-10,4830.1,2010-02-01T18:30:00.000Z
642c3eade2684b2e0128af31,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4840.2,4948.5,4840.2,4927.25,4923.05,4823.55,4927.25,810600,3983112918,1442050,142000,50,03-Feb-10,4931.85,2010-02-02T18:30:00.000Z
642c3ef7e2684b2e015b8582,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4908,4909.95,4821,4831,4835.4,4927.25,4831,1042400,5068378490,1655750,213700,50,04-Feb-10,4845.35,2010-02-03T18:30:00.000Z
642c3eade2684b2e012910cd,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4725.1,4752.5,4685,4707.35,4702,4831,4707.35,1323300,6240432390,1609850,-45900,50,05-Feb-10,4718.65,2010-02-04T18:30:00.000Z
642c3ef8e2684b2e015c5c65,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4729.5,4760,4708,4747.15,4756.5,4707.35,4747.15,163100,773232402.5,1635950,26100,50,06-Feb-10,4757.25,2010-02-05T18:30:00.000Z
642c3f18e2684b2e0171d562,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4714.95,4801.1,4662.9,4761.05,4761.15,4747.15,4761.05,1767650,8383874723,2145000,509050,50,08-Feb-10,4760.4,2010-02-07T18:30:00.000Z
642c3f16e2684b2e0170fb1d,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4750,4811.55,4727.2,4786.75,4783.5,4761.05,4786.75,1267200,6059919258,2541150,396150,50,09-Feb-10,4792.65,2010-02-08T18:30:00.000Z
642c3e5ee2684b2e01f14d75,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4809.45,4819,4734,4743.3,4750,4786.75,4743.3,1645100,7841173558,3092850,551700,50,10-Feb-10,4757.2,2010-02-09T18:30:00.000Z
642c3ed3e2684b2e0142f231,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4773,4842.75,4773,4823.85,4826,4743.3,4823.85,983550,4738184768,3179200,86350,50,11-Feb-10,4826.85,2010-02-10T18:30:00.000Z
642c3f18e2684b2e017253c1,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4839.5,4839.5,4775.25,4792,4792,4823.85,4792,917950,4403487248,3478150,298950,50,15-Feb-10,4801.95,2010-02-14T18:30:00.000Z
642c3ed4e2684b2e0143db03,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4810,4886,4784.05,4857.45,4885,4792,4857.45,1250900,6029917258,3862700,384550,50,16-Feb-10,4855.75,2010-02-15T18:30:00.000Z
642c3e82e2684b2e010b501d,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4900,4923.5,4878,4903,4897.6,4857.45,4903,2261900,11099741353,4580000,717300,50,17-Feb-10,4914,2010-02-16T18:30:00.000Z
642c3f1ae2684b2e01733a39,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4902,4911.55,4871,4884.2,4881,4903,4884.2,1641750,8030288325,5262100,682100,50,18-Feb-10,4887.75,2010-02-17T18:30:00.000Z
642c3f5ee2684b2e019b1477,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4825,4878.25,4795.1,4841.05,4844.1,4884.2,4841.05,3920250,18946441933,6956650,1694550,50,19-Feb-10,4844.9,2010-02-18T18:30:00.000Z
642c3ed5e2684b2e014459ba,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4904,4914,4845.35,4853.6,4847.9,4841.05,4853.6,4385400,21437104483,9097900,2141250,50,22-Feb-10,4856.4,2010-02-21T18:30:00.000Z
642c3e83e2684b2e010bd9a9,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4835.2,4885,4835,4867.7,4879,4853.6,4867.7,5168350,25149096613,11101600,2003700,50,23-Feb-10,4870.05,2010-02-22T18:30:00.000Z
642c3e84e2684b2e010c9a68,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4845,4877,4841,4854.6,4860,4867.7,4854.6,10657850,51804643928,17652350,6550750,50,24-Feb-10,4858.6,2010-02-23T18:30:00.000Z
642c3e85e2684b2e010d48c8,FUTIDX,NIFTY,25-Mar-10,0,XX,N,4875,4881,4830,4863.2,4869.9,4854.6,4863.2,17872550,86709030483,21565550,3913200,50,25-Feb-10,4859.75,2010-02-24T18:30:00.000Z
642c3e87e2684b2e010e5053,FUTIDX,NIFTY,29-Apr-10,0,XX,N,4863.05,5001.9,4862.5,4930.75,4937,4864.55,4930.75,1384700,6798297568,1194200,865600,50,26-Feb-10,4922.3,2010-02-25T18:30:00.000Z
642c3ef9e2684b2e015d29a1,FUTIDX,NIFTY,29-Apr-10,0,XX,N,4987.85,5033.8,4968,5015.05,5032,4930.75,5015.05,653000,3266627463,1293450,99250,50,02-Mar-10,5017,2010-03-01T18:30:00.000Z
642c3eaee2684b2e0129c96f,FUTIDX,NIFTY,29-Apr-10,0,XX,N,5027,5088,5026,5080.05,5082,5015.05,5080.05,821700,4155141800,1498550,205100,50,03-Mar-10,5088.1,2010-03-02T18:30:00.000Z
642c3f60e2684b2e019b97b1,FUTIDX,NIFTY,29-Apr-10,0,XX,N,5070,5090,5051.2,5080.85,5079,5080.05,5080.85,433800,2199644553,1611500,112950,50,04-Mar-10,5080.25,2010-03-03T18:30:00.000Z
642c3e87e2684b2e010ecc5b,FUTIDX,NIFTY,29-Apr-10,0,XX,N,5099,5116.5,5068,5089.65,5087,5080.85,5089.65,751000,3825893335,1564850,-46650,50,05-Mar-10,5088.7,2010-03-04T18:30:00.000Z
642c3e5ee2684b2e01f1a3b1,FUTIDX,NIFTY,29-Apr-10,0,XX,N,5120.3,5143,5108,5118.85,5120,5089.65,5118.85,779050,3992276620,1620750,55900,50,08-Mar-10,5124,2010-03-07T18:30:00.000Z
642c3e60e2684b2e01f2aedc,FUTIDX,NIFTY,29-Apr-10,0,XX,N,5115.35,5124.35,5093,5099.15,5094.85,5118.85,5099.15,549100,2805142608,1572300,-48450,50,09-Mar-10,5101.5,2010-03-08T18:30:00.000Z
642c3f1be2684b2e01741ffe,FUTIDX,NIFTY,29-Apr-10,0,XX,N,5090.3,5138,5090.3,5117.2,5122,5099.15,5117.2,879400,4501312998,1972950,400650,50,10-Mar-10,5116.25,2010-03-09T18:30:00.000Z
642c3f1ce2684b2e0174a9c0,FUTIDX,NIFTY,29-Apr-10,0,XX,N,5110,5160,5104,5142.7,5160,5117.2,5142.7,577500,2962715488,2041150,68200,50,11-Mar-10,5133.4,2010-03-10T18:30:00.000Z
642c3eb0e2684b2e012b1dae,FUTIDX,NIFTY,29-Apr-10,0,XX,N,5150.25,5161,5126.45,5143.6,5146,5142.7,5143.6,486600,2503389728,2137650,96500,50,12-Mar-10,5137,2010-03-11T18:30:00.000Z
642c3eb0e2684b2e012b33c3,FUTIDX,NIFTY,29-Apr-10,0,XX,N,5118.1,5137,5106.55,5131.05,5135,5143.6,5131.05,789150,4044761038,2397950,260300,50,15-Mar-10,5128.9,2010-03-14T18:30:00.000Z
642c3f61e2684b2e019beda9,FUTIDX,NIFTY,29-Apr-10,0,XX,N,5138,5215.8,5127.2,5202,5207.2,5131.05,5202,2210200,11394074648,3427550,1029600,50,16-Mar-10,5198.1,2010-03-15T18:30:00.000Z
642c3f1de2684b2e01753998,FUTIDX,NIFTY,29-Apr-10,0,XX,N,5225,5268.25,5221.1,5240.5,5244.7,5202,5240.5,2598100,13633769695,4321250,893700,50,17-Mar-10,5231.9,2010-03-16T18:30:00.000Z
642c3e61e2684b2e01f38de6,FUTIDX,NIFTY,29-Apr-10,0,XX,N,5238.75,5265,5222.2,5255.9,5258.6,5240.5,5255.9,2304150,12081286300,5448100,1126850,50,18-Mar-10,5245.9,2010-03-17T18:30:00.000Z
642c3f62e2684b2e019c6c9b,FUTIDX,NIFTY,29-Apr-10,0,XX,N,5257.5,5284.55,5251,5277.45,5272.4,5255.9,5277.45,2659300,13997980035,6926100,1478000,50,19-Mar-10,5262.8,2010-03-18T18:30:00.000Z
642c3ed7e2684b2e0145aa88,FUTIDX,NIFTY,29-Apr-10,0,XX,N,5210,5263.9,5207,5217.05,5210,5277.45,5217.05,8256650,43260879553,11031850,4105750,50,22-Mar-10,5205.2,2010-03-21T18:30:00.000Z
642c3f45e2684b2e018facf1,FUTIDX,NIFTY,29-Apr-10,0,XX,N,5232.1,5250,5205.1,5239,5239,5217.05,5239,11456800,59963935143,16161350,5129500,50,23-Mar-10,5225.3,2010-03-22T18:30:00.000Z
642c3ed7e2684b2e01461ab3,FUTIDX,NIFTY,29-Apr-10,0,XX,N,5227.85,5282,5216,5273,5277,5239,5273,15992850,83856958313,21503000,5341650,50,25-Mar-10,5260.4,2010-03-24T18:30:00.000Z
642c3ed9e2684b2e014709fe,FUTIDX,NIFTY,27-May-10,0,XX,N,5272,5311,5272,5300.5,5296,5274.35,5300.5,388250,2056482515,1511200,138750,50,26-Mar-10,5282,2010-03-25T18:30:00.000Z
642c3f1ee2684b2e01760e2c,FUTIDX,NIFTY,27-May-10,0,XX,N,5290.55,5346.7,5281.55,5324.6,5327.9,5300.5,5324.6,649450,3457493628,1615100,103900,50,29-Mar-10,5302.85,2010-03-28T18:30:00.000Z
642c3e89e2684b2e010fd57d,FUTIDX,NIFTY,27-May-10,0,XX,N,5328,5333.95,5268.35,5279.2,5270.5,5324.6,5279.2,362200,1921959383,1683150,68050,50,30-Mar-10,5262.45,2010-03-29T18:30:00.000Z
642c3e61e2684b2e01f41452,FUTIDX,NIFTY,27-May-10,0,XX,N,5292,5299.95,5250,5267.35,5268.9,5279.2,5267.35,436200,2300909838,1749800,66650,50,31-Mar-10,5249.1,2010-03-30T18:30:00.000Z
642c3f63e2684b2e019cbb2b,FUTIDX,NIFTY,27-May-10,0,XX,N,5280,5324,5279.2,5312.15,5308.2,5267.35,5312.15,654650,3466843060,1547650,-202150,50,01-Apr-10,5290.5,2010-03-31T18:30:00.000Z
642c3f64e2684b2e019cf1c2,FUTIDX,NIFTY,27-May-10,0,XX,N,5329.95,5376,5327.35,5371.6,5371.05,5312.15,5371.6,522000,2792251360,1566900,19250,50,05-Apr-10,5368.4,2010-04-04T18:30:00.000Z
642c3f65e2684b2e019d6213,FUTIDX,NIFTY,27-May-10,0,XX,N,5380.35,5391,5357.15,5371.6,5375.45,5371.6,5371.6,401450,2157591343,1651550,84650,50,06-Apr-10,5366,2010-04-05T18:30:00.000Z
642c3e89e2684b2e01102270,FUTIDX,NIFTY,27-May-10,0,XX,N,5384.9,5402,5350,5383.75,5386,5371.6,5383.75,514800,2767969323,1651550,0,50,07-Apr-10,5374.65,2010-04-06T18:30:00.000Z
642c3ed9e2684b2e0147356e,FUTIDX,NIFTY,27-May-10,0,XX,N,5370,5375,5298.1,5308.6,5298.65,5383.75,5308.6,607300,3240878653,1695750,44200,50,08-Apr-10,5304.45,2010-04-07T18:30:00.000Z
642c3e62e2684b2e01f4a15c,FUTIDX,NIFTY,27-May-10,0,XX,N,5318.5,5393,5318.5,5368.65,5373.1,5308.6,5368.65,815800,4376918905,1809950,114200,50,09-Apr-10,5361.75,2010-04-08T18:30:00.000Z
642c3f46e2684b2e0190b73c,FUTIDX,NIFTY,27-May-10,0,XX,N,5369.9,5384.7,5326.75,5347.3,5352.35,5368.65,5347.3,689550,3688417095,1859500,49550,50,12-Apr-10,5339.7,2010-04-11T18:30:00.000Z
642c3eb2e2684b2e012bfc3a,FUTIDX,NIFTY,27-May-10,0,XX,N,5335.5,5342.25,5314.6,5333.85,5333.4,5347.3,5333.85,475200,2532416650,1913150,53650,50,13-Apr-10,5322.95,2010-04-12T18:30:00.000Z
642c3f67e2684b2e019df8da,FUTIDX,NIFTY,27-May-10,0,XX,N,5371.3,5375,5271,5280.95,5280,5333.85,5280.95,1164950,6215930965,2509300,596150,50,15-Apr-10,5273.6,2010-04-14T18:30:00.000Z
642c3f47e2684b2e019129b6,FUTIDX,NIFTY,27-May-10,0,XX,N,5264.95,5297.1,5251,5267,5262,5280.95,5267,665450,3507005083,2582700,73400,50,16-Apr-10,5262.6,2010-04-15T18:30:00.000Z
642c3edbe2684b2e01484c07,FUTIDX,NIFTY,27-May-10,0,XX,N,5208.8,5228.2,5166,5211.65,5207.05,5267,5211.65,1365100,7099359933,2696950,114250,50,19-Apr-10,5203.65,2010-04-18T18:30:00.000Z
